# Logfile created on 2026-03-15 17:41:30 +0100 by logger.rb/v1.4.3
2026-03-15 17:41:30 +0100: Memory Usage (429296K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/designs/SSDOR_1.2V_v3/components/cgenerator/cgenerator.gds
2026-03-15 17:41:30 +0100: Memory Usage (429296K) : Ruby Version for klayout: 3.0.2
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : Loading database to memory is complete.
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/designs/SSDOR_1.2V_v3/components/cgenerator/drc_run_cgenerator/cgenerator_cgenerator_main.lyrdb
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : Evaluate switches.
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : tables selected: main
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : deep mode is enabled.
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : FEOL enabled: true
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : BEOL enabled: true
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : OFFGRID enabled: true
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : PIN enabled: true
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : FORBIDDEN enabled: true
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : RECOMMENDED enabled: true
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : PreCheck DRC enabled: false
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : CONNECTIVITY_RULES enabled: true.
2026-03-15 17:41:30 +0100: Memory Usage (430448K) : Read in polygons from layers.
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_drw has 106 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_pin has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_mask has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_filler has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_nofill has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_opc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_iopc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : activ_noqrc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : biwind_drw has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : biwind_opc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : pemwind_drw has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_drw has 69 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_pin has 13 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_filler has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_nofill has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_opc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_iopc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431216K) : gatpoly_noqrc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431344K) : cont_drw has 570 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431344K) : cont_opc has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431344K) : nsd_drw has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431344K) : nsd_block has 0 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431344K) : metal1_drw has 154 polygons
2026-03-15 17:41:30 +0100: Memory Usage (431344K) : metal1_pin has 29 polygons
