# Logfile created on 2026-03-18 04:10:25 +0100 by logger.rb/v1.4.3
2026-03-18 04:10:25 +0100: Memory Usage (428956K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/designs/SSDOR_1.2V_v3/components/logic_controller/logic_controller.gds
2026-03-18 04:10:25 +0100: Memory Usage (428956K) : Ruby Version for klayout: 3.0.2
2026-03-18 04:10:25 +0100: Memory Usage (429980K) : Loading database to memory is complete.
2026-03-18 04:10:25 +0100: Memory Usage (429980K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/designs/SSDOR_1.2V_v3/components/logic_controller/drc_run_logic_controller/logic_controller_logic_controller_main.lyrdb
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : Evaluate switches.
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : tables selected: main
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : deep mode is enabled.
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : FEOL enabled: true
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : BEOL enabled: true
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : OFFGRID enabled: true
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : PIN enabled: true
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : FORBIDDEN enabled: true
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : RECOMMENDED enabled: true
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : PreCheck DRC enabled: false
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : CONNECTIVITY_RULES enabled: true.
2026-03-18 04:10:25 +0100: Memory Usage (430108K) : Read in polygons from layers.
2026-03-18 04:10:25 +0100: Memory Usage (430748K) : activ_drw has 16 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430748K) : activ_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : activ_mask has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : activ_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : activ_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : activ_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : activ_iopc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : activ_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : biwind_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : biwind_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (430876K) : pemwind_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_drw has 10 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_iopc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : gatpoly_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : cont_drw has 90 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : cont_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : nsd_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : nsd_block has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : metal1_drw has 22 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : metal1_pin has 7 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : metal1_mask has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : metal1_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431260K) : metal1_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431388K) : metal1_slit has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431644K) : metal1_text has 7 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431644K) : metal1_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431772K) : metal1_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431772K) : metal1_res has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431772K) : metal1_iprobe has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431772K) : metal1_diffprb has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431772K) : passiv_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431900K) : passiv_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431900K) : passiv_sbump has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (431900K) : passiv_pillar has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432028K) : passiv_pdl has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432028K) : metal2_drw has 3 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432028K) : metal2_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432156K) : metal2_mask has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432156K) : metal2_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432156K) : metal2_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432284K) : metal2_slit has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432284K) : metal2_text has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432284K) : metal2_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432412K) : metal2_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432412K) : metal2_res has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432412K) : metal2_iprobe has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432540K) : metal2_diffprb has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432540K) : baspoly_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432540K) : baspoly_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432668K) : psd_drw has 8 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432668K) : nldb_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432668K) : digibnd_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432796K) : via1_drw has 4 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432796K) : backmetal1_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432796K) : backmetal1_pin has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432796K) : backmetal1_mask has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432924K) : backmetal1_filler has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (432924K) : backmetal1_nofill has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433052K) : backmetal1_slit has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433052K) : backmetal1_text has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433052K) : backmetal1_opc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433052K) : backmetal1_noqrc has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433180K) : backmetal1_res has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433180K) : backmetal1_iprobe has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433180K) : backmetal1_diffprb has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433308K) : backpassiv_drw has 0 polygons
2026-03-18 04:10:25 +0100: Memory Usage (433308K) : res_drw has 0 polygons
