# Logfile created on 2026-03-11 03:00:58 +0100 by logger.rb/v1.4.3
2026-03-11 03:00:58 +0100: Memory Usage (430680K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/designs/SSDOR_1.2V_v2-1/components/logic_shift_down_v1/logic_shift_down_v1.gds
2026-03-11 03:00:58 +0100: Memory Usage (430680K) : Ruby Version for klayout: 3.0.2
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : Loading database to memory is complete.
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/designs/SSDOR_1.2V_v2-1/components/logic_shift_down_v1/drc_run_logic_shift_down_v1/logic_shift_down_v1_logic_shift_down_v1_main.lyrdb
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : Evaluate switches.
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : tables selected: main
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : deep mode is enabled.
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : FEOL enabled: true
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : BEOL enabled: true
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : OFFGRID enabled: true
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : PIN enabled: true
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : FORBIDDEN enabled: true
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : RECOMMENDED enabled: true
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : PreCheck DRC enabled: false
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : CONNECTIVITY_RULES enabled: true.
2026-03-11 03:00:58 +0100: Memory Usage (431704K) : Read in polygons from layers.
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_drw has 16 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_mask has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_iopc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : activ_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : biwind_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : biwind_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : pemwind_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_drw has 10 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_pin has 2 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_iopc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : gatpoly_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : cont_drw has 46 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : cont_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : nsd_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : nsd_block has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : metal1_drw has 23 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : metal1_pin has 8 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432600K) : metal1_mask has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432728K) : metal1_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432728K) : metal1_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432728K) : metal1_slit has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432984K) : metal1_text has 4 polygons
2026-03-11 03:00:58 +0100: Memory Usage (432984K) : metal1_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : metal1_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : metal1_res has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : metal1_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : metal1_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : passiv_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : passiv_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433240K) : passiv_sbump has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433368K) : passiv_pillar has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433368K) : passiv_pdl has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433368K) : metal2_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433496K) : metal2_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433496K) : metal2_mask has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433496K) : metal2_filler has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433624K) : metal2_nofill has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433624K) : metal2_slit has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433624K) : metal2_text has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433752K) : metal2_opc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433752K) : metal2_noqrc has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433752K) : metal2_res has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433752K) : metal2_iprobe has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433880K) : metal2_diffprb has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433880K) : baspoly_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (433880K) : baspoly_pin has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434008K) : psd_drw has 3 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434008K) : nldb_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434008K) : digibnd_drw has 0 polygons
2026-03-11 03:00:58 +0100: Memory Usage (434136K) : via1_drw has 0 polygons
