# Logfile created on 2026-04-01 19:00:22 +0200 by logger.rb/v1.4.3
2026-04-01 19:00:22 +0200: Memory Usage (431404K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/designs/SSDOR_1.2V_v3/components/pmos_comp/pmos_comp.gds
2026-04-01 19:00:22 +0200: Memory Usage (431404K) : Ruby Version for klayout: 3.0.2
2026-04-01 19:00:22 +0200: Memory Usage (432556K) : Loading database to memory is complete.
2026-04-01 19:00:22 +0200: Memory Usage (432556K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/designs/SSDOR_1.2V_v3/components/pmos_comp/drc_run_pmos_comp/pmos_comp_pmos_comp_main.lyrdb
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : Evaluate switches.
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : tables selected: main
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : KLayout will use 1 thread(s) in tiling mode.
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : deep mode is enabled.
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : FEOL enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : BEOL enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : OFFGRID enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : ANGLE enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : PIN enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : FORBIDDEN enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : RECOMMENDED enabled: true
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : PreCheck DRC enabled: false
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : CONNECTIVITY_RULES enabled: true.
2026-04-01 19:00:22 +0200: Memory Usage (432684K) : Read in polygons from layers.
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_drw has 31 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_pin has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_mask has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_filler has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_nofill has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_opc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_iopc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : activ_noqrc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : biwind_drw has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : biwind_opc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : pemwind_drw has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_drw has 22 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_pin has 5 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_filler has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_nofill has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_opc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_iopc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433452K) : gatpoly_noqrc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433580K) : cont_drw has 268 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433580K) : cont_opc has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433580K) : nsd_drw has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433580K) : nsd_block has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433964K) : metal1_drw has 63 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433964K) : metal1_pin has 19 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433964K) : metal1_mask has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (433964K) : metal1_filler has 0 polygons
2026-04-01 19:00:22 +0200: Memory Usage (434092K) : metal1_nofill has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434092K) : metal1_slit has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal1_text has 3 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal1_opc has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal1_noqrc has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal1_res has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal1_iprobe has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal1_diffprb has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : passiv_drw has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : passiv_pin has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : passiv_sbump has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : passiv_pillar has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : passiv_pdl has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_drw has 14 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_pin has 2 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_mask has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_filler has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_nofill has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_slit has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_text has 2 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_opc has 0 polygons
2026-04-01 19:00:23 +0200: Memory Usage (434220K) : metal2_noqrc has 0 polygons
