# Logfile created on 2026-03-20 18:42:23 +0100 by logger.rb/v1.4.3
2026-03-20 18:42:23 +0100: Memory Usage (430980K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/designs/SSDOR_1.2V_v3/components/pmos_comp/pmos_comp_v2.gds
2026-03-20 18:42:23 +0100: Memory Usage (430980K) : Ruby Version for klayout: 3.0.2
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : Loading database to memory is complete.
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/designs/SSDOR_1.2V_v3/components/pmos_comp/drc_run_pmos_comp_v2/pmos_comp_v2_pmos_comp_v2_main.lyrdb
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : Evaluate switches.
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : tables selected: main
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : deep mode is enabled.
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : FEOL enabled: true
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : BEOL enabled: true
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : OFFGRID enabled: true
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : PIN enabled: true
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : FORBIDDEN enabled: true
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : RECOMMENDED enabled: true
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : PreCheck DRC enabled: false
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : CONNECTIVITY_RULES enabled: true.
2026-03-20 18:42:23 +0100: Memory Usage (431876K) : Read in polygons from layers.
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_drw has 31 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_pin has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_mask has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_filler has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_nofill has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_iopc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : activ_noqrc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : biwind_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : biwind_opc has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : pemwind_drw has 0 polygons
2026-03-20 18:42:23 +0100: Memory Usage (432644K) : gatpoly_drw has 22 polygons
